"Note","Course","Module","Clip","Time in Clip","URL"
"create an obervable to return an asynchronous stream of data","Getting Started with Reactive Programming Using RxJS","Course Overview","Course Overview","1:05","https://app.pluralsight.com/player?course=reactive-programming-rxjs-getting-started&author=scott-allen&name=reactive-programming-rxjs-getting-started-m0&clip=0&mode=live&start=65.322499&noteid=a1473ea1-dc6b-4841-b1df-d8145d855455"
"create an observer to react to the incoming data.","Getting Started with Reactive Programming Using RxJS","Course Overview","Course Overview","1:08","https://app.pluralsight.com/player?course=reactive-programming-rxjs-getting-started&author=scott-allen&name=reactive-programming-rxjs-getting-started-m0&clip=0&mode=live&start=68.798155&noteid=d8dd9139-ae06-4fe7-932c-87fe1a254665"
"what is nodejs , open source server side runtime environment","Building Web Applications with Node.js and Express 4.0","Getting Started","Introduction and Installation","2:49","https://app.pluralsight.com/player?course=nodejs-express-web-applications&author=jonathan-mills&name=nodejs-express-web-applications-m1&clip=0&mode=live&start=169.600684&noteid=7bf144e2-0954-4292-8a6a-8b7b51cb8d7c"
"fully crossplatform ,js is langulage","Building Web Applications with Node.js and Express 4.0","Getting Started","Introduction and Installation","2:49","https://app.pluralsight.com/player?course=nodejs-express-web-applications&author=jonathan-mills&name=nodejs-express-web-applications-m1&clip=0&mode=live&start=169.600684&noteid=d926f6e3-d202-415b-9746-0342ac8bfec5"
"libuv + v8+ (js+c++)","Introduction to Node.js","Getting Started with Node.js","Node.js Background","1:18","https://app.pluralsight.com/player?course=node-intro&author=paul-ofallon&name=node-intro-m1-intro&clip=1&mode=live&start=78.379106&noteid=7c90ee17-098f-496e-9aac-a90c1775168f"
"nvm can manage multiple version of node (nvm not npm )","Introduction to Node.js","Getting Started with Node.js","Getting Node.js","0:44","https://app.pluralsight.com/player?course=node-intro&author=paul-ofallon&name=node-intro-m1-intro&clip=2&mode=live&start=44.236565&noteid=7334a8e3-f034-4a49-9c20-7ae19832397e"
"you have to make the time..","Learning To Program - Being A Better Programmer","Be A Better Programmer!","What's Holding You Back?","0:50","https://app.pluralsight.com/player?course=learning-program-better-programmer&author=scott-allen&name=learning-program-better-programmer-m1-introduction&clip=2&mode=live&start=50.300372&noteid=65eedbc1-357c-403e-ba25-4874d79ddf5c"
"patch updates pieces of data while put updates entire data","RESTful Web Services with Node.js and Express","What Is REST?","Uniform Interface","2:24","https://app.pluralsight.com/player?course=node-js-express-rest-web-services&author=jonathan-mills&name=node-js-express-rest-web-services-m1&clip=2&mode=live&start=144.190688&noteid=f31e90fb-260e-445c-88b5-ecc3d3cbf1d9"
"source control or config management . New term is devops ","Maven Fundamentals","Introduction to Maven Fundamentals","High Level Overview","3:47","https://app.pluralsight.com/player?course=maven-fundamentals&author=bryan-hansen&name=maven-fundamentals-m1&clip=2&mode=live&start=227.962793&noteid=ebdcf3e1-9777-467e-bc18-69ed619465fe"
"what is the purpose of the package.json file . : this is needed for version control or if you want to share you porject you dont want to give away the added packages .","RESTful Web Services with Node.js and Express","What Is REST?","Setting up Our Environment","2:17","https://app.pluralsight.com/player?course=node-js-express-rest-web-services&author=jonathan-mills&name=node-js-express-rest-web-services-m1&clip=3&mode=live&start=137.295702&noteid=99dc3e5d-b215-4de6-9db2-2431ae1610d1"
